method,panel_size,classifier,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
05a LR,5,XGBoost,0.6924554455445544,0.026595496964308633,0.6712568562738866,0.5157931799335274,0.8062381878895604
05a LR,10,SVM (RBF),0.7917029702970297,0.02042047944555167,0.7845286246074676,0.6740300510292367,0.9011032091263764
05a LR,15,SVM (RBF),0.8314059405940594,0.022216939323467924,0.8254585795507541,0.7398149559688479,0.9485387171408716
05a LR,20,SVM (RBF),0.8731089108910892,0.03487541932438467,0.8711298161741228,0.8047834566314356,0.9615128774272508
05a LR,25,SVM (RBF),0.8829900990099009,0.016745545461836424,0.8800278628355283,0.8181219796778822,0.9740703346783552
05a LR,30,Logistic Reg,0.9068118811881188,0.0261186842714513,0.9060250711158192,0.8549080919345293,0.9783025037057478
05a LR,35,SVM (RBF),0.9047920792079209,0.02763391700931164,0.9034645264235112,0.8519514406456027,0.9808203659536557
05a LR,40,SVM (RBF),0.9107524752475247,0.035346373796677565,0.9084764872604035,0.8624602066819561,0.9802983025981655
05a LR,45,SVM (RBF),0.9285940594059404,0.024517250638373306,0.9261282158752542,0.8900474742006388,0.9844940033268372
05a LR,50,SVM (RBF),0.9365346534653465,0.019332047637948064,0.9350640807270455,0.9021536682783331,0.9848390659944151
05a LR,55,SVM (RBF),0.9484356435643564,0.01915030657041825,0.9473833823119951,0.9205328545799978,0.9901649860233469
05a LR,60,SVM (RBF),0.9523762376237623,0.013151556370154693,0.9514739597915461,0.926635531805163,0.9902232491453244
05a LR,65,SVM (RBF),0.9563762376237623,0.014763249437954281,0.9556892489723527,0.9326092879247756,0.991052467404214
05a LR,70,SVM (RBF),0.9682772277227724,0.009652647845557721,0.9679668676140576,0.9507644833301743,0.9942774382041641
05a LR,75,SVM (RBF),0.9623366336633662,0.011485421642365233,0.9620387740873447,0.941494040446614,0.9950824261632446
05a LR,80,SVM (RBF),0.9662970297029702,0.010042864703743668,0.9660658515460236,0.9475832084590701,0.9962993784326464
05a LR,90,SVM (RBF),0.9682574257425742,0.011536858668224868,0.9680179396351466,0.950823489488856,0.9966675311849972
05a LR,100,SVM (RBF),0.9821584158415841,0.011532915349433999,0.9819868636684242,0.9724222301681934,0.9975197305393152
ElasticNet,5,SVM (Linear),0.7142970297029703,0.027443687163015477,0.6887462115002526,0.5575671394705299,0.8402589668520598
ElasticNet,10,Random Forest,0.7917227722772278,0.04032655643379992,0.7800509013851173,0.6766964558129728,0.9163326840581941
ElasticNet,15,XGBoost,0.8253663366336633,0.021583649735126744,0.8228457519368577,0.7283393813472323,0.9410315448839774
ElasticNet,20,Random Forest,0.8531881188118812,0.02604230682806282,0.8498895172929425,0.7721141323525862,0.9612654588201144
ElasticNet,25,SVM (RBF),0.8789504950495048,0.024661822115406573,0.8783748084673301,0.8129920966630404,0.9597612683127904
ElasticNet,30,SVM (RBF),0.902811881188119,0.017995370228800555,0.9021180657139201,0.8500888031983388,0.9668964170145786
ElasticNet,35,SVM (RBF),0.9206336633663368,0.012527878919456637,0.9202126968162954,0.87713248340808,0.9752905565975227
ElasticNet,40,SVM (RBF),0.9225742574257426,0.017290201942925184,0.9222535324883762,0.8808245182552559,0.9811392264712632
ElasticNet,45,SVM (RBF),0.9285544554455445,0.011658910880578915,0.9282138217322833,0.8898604333949972,0.9901155065452333
ElasticNet,50,SVM (RBF),0.9384752475247524,0.00981738962779865,0.9380256321732897,0.905244518970482,0.9923112381607092
ElasticNet,55,SVM (RBF),0.9483960396039602,0.014617885624781774,0.9478498237958786,0.9202594928112878,0.9932441472166976
ElasticNet,60,SVM (RBF),0.9543564356435643,0.013460977742065233,0.9539442575450086,0.9293350317154128,0.993135469978846
ElasticNet,65,SVM (RBF),0.9543564356435643,0.01838600798644127,0.9541555445827182,0.929295823447408,0.9944282663813034
ElasticNet,70,SVM (RBF),0.9583168316831683,0.014606561272007955,0.9580493177311876,0.9355322926589101,0.9957891455554917
ElasticNet,75,SVM (RBF),0.9662772277227722,0.014803036486699167,0.9662294574647323,0.9476841849881332,0.9964517623399791
ElasticNet,80,SVM (RBF),0.9761980198019803,0.010081833578135772,0.9762011774789119,0.9631366725481094,0.9966916111436437
ElasticNet,90,SVM (RBF),0.9662376237623762,0.014925229454424782,0.9661746821001215,0.9478077543813022,0.9962527821999734
ElasticNet,100,SVM (RBF),0.9662376237623762,0.010253143339405647,0.9662105354942634,0.9477578338327509,0.995774049843862
LR-L1,5,SVM (Linear),0.7162772277227722,0.022976578178434796,0.6909070481622219,0.5640650510707499,0.8434363900310732
LR-L1,10,Random Forest,0.8035841584158415,0.06545518719874252,0.7981168045146845,0.6948234305870402,0.924048924563904
LR-L1,15,Logistic Reg,0.8254059405940593,0.01715994405676687,0.8194906048192708,0.7284613679345721,0.949269128443966
LR-L1,20,SVM (RBF),0.8690495049504949,0.022033438330551363,0.866657435457823,0.7969000526088773,0.9468378461180315
LR-L1,25,SVM (RBF),0.8869306930693069,0.009829444472071975,0.8863366317130199,0.8249677730012159,0.9653721513654894
LR-L1,30,SVM (RBF),0.9086732673267328,0.020523259869404085,0.9086672529421262,0.8591956394769784,0.9733378233395793
LR-L1,35,Random Forest,0.9087326732673267,0.011521349570765208,0.9076230250711683,0.8601752246258739,0.9852189396136147
LR-L1,40,SVM (RBF),0.9265544554455445,0.013643607466629189,0.9263682580977065,0.8869178342563085,0.985698206266626
LR-L1,45,SVM (RBF),0.9306138613861386,0.018660821319765174,0.9304109109643909,0.8941617715671573,0.9867135372648184
LR-L1,50,SVM (RBF),0.9424752475247524,0.007305293760671938,0.9422808111220453,0.9119730540601882,0.9886727024149817
LR-L1,55,SVM (RBF),0.9424554455445545,0.015858209098266185,0.9422074900887905,0.9113550160665582,0.9902401427178982
LR-L1,60,SVM (RBF),0.9503960396039604,0.018786851509192994,0.9502866028003378,0.9238141568855671,0.9941724343839828
LR-L1,65,SVM (RBF),0.9583168316831683,0.014606561272007955,0.9582037481020371,0.935734788011777,0.9946974140979137
LR-L1,70,SVM (RBF),0.9464158415841585,0.01943969583959196,0.9462040536081489,0.9173862593783525,0.9948944962972742
LR-L1,75,SVM (RBF),0.9523564356435642,0.01465003973873904,0.9523074379625271,0.9261436328961012,0.9947442340606563
LR-L1,80,SVM (RBF),0.9543168316831683,0.01854417120440459,0.9542359268683385,0.9294896403403203,0.9947503371693951
LR-L1,90,SVM (RBF),0.9622772277227722,0.014633382009380067,0.9620495421857249,0.9416817226908141,0.994560506499373
LR-L1,100,SVM (RBF),0.9582970297029704,0.011730797360163768,0.9581179511992619,0.9359214611572589,0.995321354901464
RF,5,XGBoost,0.6447128712871287,0.04013239534297824,0.5900036687145965,0.4589398872818086,0.8136153971363189
RF,10,XGBoost,0.7242376237623762,0.02726570887583726,0.7216303190555509,0.5745196385710916,0.8884431505175225
RF,15,SVM (RBF),0.7519207920792079,0.025720752365451505,0.7372870642841629,0.624091069813414,0.881095891005307
RF,20,SVM (RBF),0.8035643564356436,0.017098640114790408,0.7956385486894925,0.6959315365573753,0.90196382242897
RF,25,MLP,0.8154653465346534,0.018459906824908785,0.8014764893855851,0.7153287303881231,0.9336462448524356
RF,30,SVM (RBF),0.8254257425742575,0.027548419200580904,0.8188051768918078,0.7296707353791136,0.9319028161240244
RF,35,SVM (RBF),0.8412475247524751,0.04114885790649745,0.8387488275442821,0.7535857549344774,0.9446966538471873
RF,40,SVM (RBF),0.8651089108910892,0.026870754498321936,0.8620565898311972,0.789568080088315,0.948742429912043
RF,45,SVM (RBF),0.8789504950495048,0.035151030449652364,0.8776248174194563,0.8115532250092832,0.954045863511328
RF,50,Random Forest,0.8948316831683168,0.010191461892213566,0.8925604088374618,0.837611287569875,0.978760394713641
RF,55,MLP,0.9086930693069307,0.016090665575874734,0.9084203349541365,0.8594472729667867,0.9815377974049649
RF,60,SVM (RBF),0.9007524752475249,0.022790143658513642,0.8997665636583836,0.8475384715524792,0.9837340720134959
RF,65,SVM (RBF),0.9186336633663366,0.017120687182900784,0.9184126947368073,0.874843352645739,0.9879853054117852
RF,70,SVM (RBF),0.9245742574257425,0.023202344479262827,0.9242922624846989,0.8833742638728017,0.989166030189565
RF,75,SVM (RBF),0.9364554455445544,0.024120437604738698,0.9363663700114963,0.9020020060266116,0.9917366249990163
RF,80,SVM (RBF),0.9384752475247524,0.02025033024210279,0.9383647522518868,0.9054676306268344,0.9920039789242079
RF,90,SVM (RBF),0.9444356435643563,0.023947660472654054,0.9438394760739633,0.9146109128042921,0.9935092811335643
RF,100,SVM (RBF),0.9543564356435643,0.018386007986441258,0.9539751195890878,0.9297542605927038,0.9947052177123634
