n_snps,panel,reductor,acc_mean,acc_std
5,stat,LR,0.6885148514851485,0.0376841620447216
10,fst_stat,EN,0.7321584158415841,0.0223745202179802
15,stat,EN,0.7797029702970296,0.0386646023559735
20,stat,EN,0.8372475247524752,0.0251324810507107
25,stat,EN,0.8709504950495048,0.0248051400133373
30,stat,EN,0.8809504950495051,0.0062799444413195
35,stat,EN,0.9067722772277228,0.0171382220499624
40,stat,EN,0.9107128712871286,0.0198051878590123
45,stat,EN,0.9107128712871286,0.0140066504293277
50,stat,EN,0.9364950495049504,0.0134943775574922
55,stat,EN,0.9285544554455444,0.0146408294462381
60,stat,EN,0.9404752475247524,0.0062664429326949
65,stat,LR,0.9285544554455444,0.0221096535637212
70,stat,EN,0.9325346534653464,0.0115735078397727
75,stat,EN,0.9404950495049504,0.0216476493748971
80,stat,EN,0.9384554455445544,0.0193478216380305
90,fst_stat,EN,0.9543168316831684,0.0136762172311337
100,fst_stat,EN,0.9463960396039603,0.0184848700971252
