n_snps,panel,reductor,acc_mean,acc_std
5,FST,RF,0.6408316831683168,0.029465559458402395
10,FST,RF,0.6744356435643564,0.0459428302630898
15,FST,RF,0.7460594059405941,0.014332913471705386
20,FST,RF,0.7698019801980198,0.04553379123788879
25,FST,RF,0.8214455445544555,0.03696216639926517
30,FST,RF,0.8353267326732674,0.04450568948383704
35,FST,RF,0.8591089108910891,0.02905497798841475
40,FST,RF,0.8669900990099009,0.04257359428449694
45,FST,RF,0.8710693069306931,0.029890392194395057
50,FST,RF,0.880990099009901,0.03694223799585427
55,FST,RF,0.888871287128713,0.02214084545687765
60,FST,RF,0.8908316831683167,0.01688025606439458
65,FST,RF,0.9066930693069308,0.02336110026911717
70,FST,RF,0.900831683168317,0.029928228364766635
75,FST,RF,0.9087524752475249,0.016926419471057243
80,FST,RF,0.9146930693069308,0.010008446584706236
90,FST,RF,0.9087524752475249,0.014424978064372644
100,FST,RF,0.9126732673267327,0.021257404990605366
5,FST,LR,0.5951683168316831,0.024159584454773838
10,FST,LR,0.6268712871287129,0.044276784921358746
15,FST,LR,0.6150297029702971,0.05819533478287697
20,FST,LR,0.6505940594059407,0.07025964701189058
25,FST,LR,0.6684950495049505,0.04841705236494507
30,FST,LR,0.7022772277227722,0.039504330127390366
35,FST,LR,0.6963168316831683,0.0310555661895543
40,FST,LR,0.7300792079207921,0.03684256200457931
45,FST,LR,0.7537821782178218,0.051093038455064785
50,FST,LR,0.7716831683168317,0.050148685894951354
55,FST,LR,0.7855841584158416,0.0627517722701659
60,FST,LR,0.8094653465346535,0.031951438498375596
65,FST,LR,0.8095247524752477,0.04264394021079999
70,FST,LR,0.8253267326732672,0.039271695307788894
75,FST,LR,0.8134059405940594,0.040284820686790755
80,FST,LR,0.8293267326732673,0.03115679080353396
90,FST,LR,0.8550891089108911,0.035547152336183614
100,FST,LR,0.8590099009900991,0.03734970535557174
5,FST,EN,0.6607722772277227,0.03455229361446492
10,FST,EN,0.7182574257425742,0.031007245438436536
15,FST,EN,0.748,0.040958537617262786
20,FST,EN,0.7757425742574258,0.02522324594625146
25,FST,EN,0.8034653465346535,0.035821886168565416
30,FST,EN,0.8153861386138613,0.023121014587541292
35,FST,EN,0.8333267326732672,0.004179859843457666
40,FST,EN,0.8392673267326731,0.017203305787739383
45,FST,EN,0.8789702970297031,0.015818993793870865
50,FST,EN,0.8849306930693069,0.02217365582500594
55,FST,EN,0.8987920792079208,0.020284072174057095
60,FST,EN,0.9087326732673267,0.009671073050881931
65,FST,EN,0.9245544554455446,0.013781950606974494
70,FST,EN,0.9245940594059405,0.01348071342138734
75,FST,EN,0.9225742574257426,0.01611642768267388
80,FST,EN,0.9245940594059405,0.010163953482627682
90,FST,EN,0.9245742574257425,0.013617716825807709
100,FST,EN,0.9443960396039603,0.015073664817888648
5,stat,RF,0.6805544554455446,0.018123907739822313
10,stat,RF,0.6746534653465346,0.02700339633066262
15,stat,RF,0.748039603960396,0.018026372428502795
20,stat,RF,0.7957227722772278,0.03059661625382302
25,stat,RF,0.8036435643564357,0.034184802550535166
30,stat,RF,0.8353267326732674,0.01598234493043937
35,stat,RF,0.8591089108910891,0.017182140676859473
40,stat,RF,0.8889108910891089,0.026775909297244174
45,stat,RF,0.8909108910891088,0.018600416463046342
50,stat,RF,0.8908712871287129,0.018790858498260725
55,stat,RF,0.8987920792079208,0.011703020555754784
60,stat,RF,0.9106534653465348,0.018111787850222247
65,stat,RF,0.9086732673267326,0.026375880828913158
70,stat,RF,0.9067128712871286,0.027850371132859517
75,stat,RF,0.9265742574257425,0.016148706071191808
80,stat,RF,0.9185742574257425,0.02927865909571832
90,stat,RF,0.9265148514851484,0.022578460612691434
100,stat,RF,0.9265148514851484,0.028696369447180466
5,stat,LR,0.6885148514851485,0.037684162044721664
10,stat,LR,0.6925148514851485,0.05320485128606707
