n_snps,panel,reductor,classifier,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
5,stat,LR,GBM,0.6766138613861387,0.03714022263844904,0.6514913066187694,0.49554444881181203,0.8048725674543912
5,stat,LR,LR,0.6924554455445544,0.05333612914607728,0.6685952981439158,0.5191850637090644,0.8214451133349334
5,stat,LR,RF,0.6885148514851485,0.0421321740035576,0.6647646775841958,0.5146891991060354,0.8091872091847359
5,stat,LR,SVM_Lin,0.6884554455445545,0.04032241883906806,0.6641236019371869,0.5159312983256549,0.8159520886335707
5,stat,LR,SVM_RBF,0.6805346534653466,0.036852144853933025,0.6539540527143062,0.5013515534991776,0.8022691973252725
5,stat,LR,XGB,0.6845346534653465,0.04033389220623114,0.6635793716865108,0.5077129149575483,0.8102504038398701
10,fst_stat,EN,GBM,0.7063762376237623,0.03716721436092101,0.7022677773727274,0.5437866157555187,0.8604527172083968
10,fst_stat,EN,LR,0.757940594059406,0.04976517743373651,0.7520739798002858,0.6201923196038424,0.9049370556902057
10,fst_stat,EN,RF,0.7301980198019802,0.026078350873397903,0.7257398483569941,0.5802863620373306,0.8794203600853997
10,fst_stat,EN,SVM_Lin,0.7598613861386139,0.057385253735943303,0.755757544255533,0.6248410376779503,0.8986693046193885
10,fst_stat,EN,SVM_RBF,0.744019801980198,0.009269886250591861,0.7386553805935515,0.6024226526060182,0.887011852362669
10,fst_stat,EN,XGB,0.7301782178217822,0.033659755193615866,0.7260867903179781,0.5794076958250363,0.8818111602792765
15,stat,EN,GBM,0.7717821782178218,0.03537093203543811,0.7700251888983273,0.6463222167140471,0.9023424082706988
15,stat,EN,LR,0.8035841584158415,0.0299187213835509,0.8012670725306987,0.694225104519839,0.9270737244885969
15,stat,EN,RF,0.7876435643564357,0.0322710314164196,0.7825095575921175,0.6691304200771447,0.928199238846638
15,stat,EN,SVM_Lin,0.7975841584158416,0.023189632235787065,0.7938929062775402,0.6834210489516138,0.9170671124857765
15,stat,EN,SVM_RBF,0.8054851485148514,0.02657005913333255,0.7994452038227461,0.6968491180174474,0.9177327254193303
15,stat,EN,XGB,0.7856237623762377,0.03112994732140276,0.7827539568041157,0.6677882106782876,0.9136335160463955
20,stat,EN,GBM,0.8292871287128714,0.056102735317512385,0.825744643919226,0.7334633321558884,0.9375298790380292
20,stat,EN,LR,0.8452079207920793,0.05370753726309537,0.84282939352142,0.758354406679396,0.9530673322691037
20,stat,EN,RF,0.8392673267326731,0.02379078335016463,0.8356509165024839,0.7502967298479426,0.9528291249694462
