n_snps,panel,reductor,classifier,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
5,stat,LR,LR,0.6924554455445544,0.05333612914607728,0.6685952981439158,0.5191850637090644,0.8214451133349334
10,fst_stat,EN,SVM_Lin,0.7598613861386139,0.057385253735943303,0.755757544255533,0.6248410376779503,0.8986693046193885
15,stat,EN,SVM_RBF,0.8054851485148514,0.02657005913333255,0.7994452038227461,0.6968491180174474,0.9177327254193303
20,stat,EN,LR,0.8452079207920793,0.05370753726309537,0.84282939352142,0.758354406679396,0.9530673322691037
25,stat,EN,RF,0.8650297029702969,0.02710977151864177,0.8614810531026968,0.7903160529676484,0.9646350962364529
30,stat,EN,LR,0.892950495049505,0.030607866409287816,0.8919459414147249,0.8339974369844644,0.9661207400966063
35,stat,EN,LR,0.9225940594059405,0.013118793200061396,0.922226407645829,0.8798295142805937,0.9801163178977605
40,stat,EN,LR,0.9166138613861385,0.028773272079452773,0.9162514757797217,0.8706708399990065,0.9808503750542661
45,stat,EN,LR,0.9284752475247524,0.029687916977605002,0.9279643492662452,0.8897361496158214,0.985636472407608
50,stat,EN,SVM_RBF,0.9305346534653465,0.014145878268009154,0.9297101389265083,0.8924976146182685,0.983779308308258
55,stat,EN,SVM_RBF,0.9543168316831683,0.01529047570193457,0.953992687656943,0.9297829535640607,0.9904674021947584
60,stat,EN,SVM_RBF,0.9523564356435642,0.00849825691256194,0.95226754127049,0.9261371655190599,0.9893318746194051
65,stat,LR,SVM_RBF,0.9364554455445544,0.020812389891193137,0.9359799370363971,0.9012320139750619,0.9872315079393074
70,stat,EN,SVM_RBF,0.9503564356435643,0.014248415744919652,0.9501996398333301,0.9234497937360201,0.9910298295412818
75,stat,EN,LR,0.9483762376237624,0.01788761219208194,0.9482295874874845,0.920140629284249,0.9924508886262803
80,stat,EN,SVM_RBF,0.9463960396039605,0.015200454541003364,0.9461374234224668,0.9171248100717395,0.9931154280497309
90,fst_stat,EN,SVM_RBF,0.9602970297029703,0.012228825059547881,0.9601692315146844,0.9384493489952964,0.9954862524407975
100,fst_stat,EN,LR,0.9622970297029703,0.019056049595178558,0.9624086743415884,0.9417982665662488,0.9979894084233715
