n_snps,panel,reductor,classifier,fold,acc,f1,mcc,roc_auc
5,stat,LR,RF,0,0.6138613861386139,0.5762012155036285,0.3943280697916127,0.7947994692475068
5,stat,LR,XGB,0,0.6138613861386139,0.5887563091471663,0.39084826891924296,0.7927483787151495
5,stat,LR,LR,0,0.6039603960396039,0.5666153994040181,0.37052967709566575,0.7899331957483162
5,stat,LR,SVM_RBF,0,0.6237623762376238,0.5858974740788271,0.4098445509189255,0.766355949903006
5,stat,LR,SVM_Lin,0,0.6336633663366337,0.6129130755414481,0.42589588743582885,0.7628329002827218
5,stat,LR,GBM,0,0.6138613861386139,0.5762012155036285,0.3943280697916127,0.7963363269284321
5,stat,LR,RF,1,0.7128712871287128,0.6976293118033609,0.5479583520980434,0.8214142052400303
5,stat,LR,XGB,1,0.7029702970297029,0.6888181709630911,0.5310404229914476,0.8179136341324119
5,stat,LR,LR,1,0.7029702970297029,0.6816484280006948,0.532463423027586,0.8430951141979243
5,stat,LR,SVM_RBF,1,0.7128712871287128,0.6976293118033609,0.5479583520980434,0.7932042618316034
5,stat,LR,SVM_Lin,1,0.6831683168316832,0.6605324941361131,0.4992497262738355,0.8111663634132412
5,stat,LR,GBM,1,0.6732673267326733,0.6452942790597175,0.4832878540165202,0.8179065542859029
5,stat,LR,RF,2,0.7128712871287128,0.6971625972385892,0.5509589783336594,0.8085649328122567
5,stat,LR,XGB,2,0.7128712871287128,0.6971625972385892,0.5509589783336594,0.8117639024585946
5,stat,LR,LR,2,0.7425742574257426,0.7332201243380152,0.5984517665001513,0.823841058625849
5,stat,LR,SVM_RBF,2,0.6831683168316832,0.6769629513118536,0.4981252703905863,0.8328794266740296
5,stat,LR,SVM_Lin,2,0.7227722772277227,0.70714625215057,0.5669475350155179,0.841597785660007
5,stat,LR,GBM,2,0.7029702970297029,0.6928012574467937,0.5343894157075347,0.7959660509560152
5,stat,LR,RF,3,0.7029702970297029,0.6719507115546719,0.5403455239614487,0.8385919723252533
5,stat,LR,XGB,3,0.7029702970297029,0.6719507115546719,0.5403455239614487,0.8487607101788849
5,stat,LR,LR,3,0.7227722772277227,0.6901811060226902,0.5743909998941413,0.8300752486433053
5,stat,LR,SVM_RBF,3,0.7128712871287128,0.6806658687846806,0.5557417704810033,0.8193658502962201
5,stat,LR,SVM_Lin,3,0.7326732673267327,0.6997025694472282,0.5934026461998312,0.8431434080824326
5,stat,LR,GBM,3,0.7029702970297029,0.6719507115546719,0.5403455239614487,0.8383497654544074
5,stat,LR,RF,4,0.7,0.6808795518207283,0.5398550713454128,0.782565466298632
5,stat,LR,XGB,4,0.69,0.6712090695290358,0.5253713805819434,0.7800653937143092
5,stat,LR,LR,4,0.69,0.6713114329541605,0.5200894520277778,0.8202809494592719
5,stat,LR,SVM_RBF,4,0.67,0.6286146575928087,0.49508782360732956,0.7995404979215035
5,stat,LR,SVM_Lin,4,0.67,0.640323618410575,0.49416069670326135,0.8210199857294516
5,stat,LR,GBM,4,0.69,0.6712090695290358,0.5253713805819434,0.7758041396471977
10,fst_stat,EN,RF,0,0.693069306930693,0.6844370287585197,0.5173060948606234,0.8466336509824467
10,fst_stat,EN,XGB,0,0.7128712871287128,0.7040295672431772,0.5482195587821397,0.8581722963246157
10,fst_stat,EN,LR,0,0.7128712871287128,0.7027894492128556,0.5468088027688791,0.8750054573816839
10,fst_stat,EN,SVM_RBF,0,0.7425742574257426,0.7394590678580053,0.6006913134205526,0.8767089864491738
10,fst_stat,EN,SVM_Lin,0,0.7920792079207921,0.7920792079207921,0.6762820512820513,0.8863727409389764
10,fst_stat,EN,GBM,0,0.6633663366336634,0.6580053127263947,0.4746780185603683,0.8439172023750525
