n_snps,panel,reductor,classifier,n_train,n_test,acc,f1,mcc,roc_auc
5,stat,LR,LR,403,101,0.6039603960396039,0.5462574968083838,0.3651149454342945,0.7746844453412249
10,fst_stat,EN,SVM_Lin,403,101,0.7425742574257426,0.7406091569520571,0.615997773720115,0.8831546262077037
15,stat,EN,SVM_RBF,403,101,0.7623762376237624,0.7558576776739974,0.6264224512584847,0.9005018431200411
20,stat,EN,LR,403,101,0.801980198019802,0.799058198502777,0.6917526363625548,0.92972585654343
25,stat,EN,RF,403,101,0.801980198019802,0.7958917390257821,0.6912536136371965,0.9189519231223068
30,stat,EN,LR,403,101,0.8514851485148515,0.8486483634461686,0.7686711536722353,0.9258407317729351
35,stat,EN,LR,403,101,0.8811881188118812,0.8799636837395838,0.8175631284616849,0.9632952437591152
40,stat,EN,LR,403,101,0.8811881188118812,0.8809402207189044,0.814366899624981,0.9748819435594637
45,stat,EN,LR,403,101,0.9108910891089109,0.9106970150212426,0.8620207967835327,0.9788885466963076
50,stat,EN,SVM_RBF,403,101,0.900990099009901,0.9002213635997744,0.8474167447769172,0.9814637228664882
55,stat,EN,SVM_RBF,403,101,0.9207920792079208,0.9206315346981851,0.8783320748193477,0.9782749010001464
60,stat,EN,SVM_RBF,403,101,0.9108910891089109,0.9099270199658719,0.861404627522072,0.976502579424078
65,stat,LR,SVM_RBF,403,101,0.8613861386138614,0.8571651902032309,0.78392511031943,0.9599679518948028
70,stat,EN,SVM_RBF,403,101,0.900990099009901,0.8996981405457619,0.8490836272607811,0.9768469549580164
75,stat,EN,LR,403,101,0.900990099009901,0.9008185725831788,0.8456848077114552,0.9775548216114675
80,stat,EN,SVM_RBF,403,101,0.8910891089108911,0.8909612966234508,0.830286658806244,0.9747867196239186
90,fst_stat,EN,SVM_RBF,403,101,0.9702970297029703,0.9702737332556786,0.9538722806172829,0.9939962901604295
100,fst_stat,EN,LR,403,101,0.9801980198019802,0.9802415250033226,0.9695061701192337,0.9986406694702858
