n_snps,leaky_panel,leaky_reductor,leaky_clf,leaky_acc,leaky_mcc,nestedB_acc,nestedB_std,nestedB_mcc,delta_acc,nestedA_acc,nestedA_mcc
5,stat,LR,LR,0.6924554455445544,0.5191850637090644,0.6746336633663367,0.0249539837259252,0.4895098963850749,-0.017821782178217727,,
10,fst_stat,EN,SVM_Lin,0.7598613861386139,0.6248410376779503,0.7222178217821782,0.0265902771504428,0.5674265926436579,-0.03764356435643568,,
15,stat,EN,SVM_RBF,0.8054851485148514,0.6968491180174474,0.7837227722772278,0.0202555577277174,0.6658253269090972,-0.02176237623762367,,
20,stat,EN,LR,0.8452079207920793,0.758354406679396,0.8353069306930694,0.0135460018912779,0.747530691846096,-0.00990099009900991,,
25,stat,EN,RF,0.8650297029702969,0.7903160529676484,0.8412475247524753,0.0227348465515123,0.7565722377044721,-0.02378217821782158,,
30,stat,EN,LR,0.892950495049505,0.8339974369844644,0.861029702970297,0.0256150382259203,0.7836597475122083,-0.03192079207920795,,
35,stat,EN,LR,0.9225940594059404,0.8798295142805937,0.8609504950495049,0.0463465166747359,0.7839018624427688,-0.061643564356435476,0.8491089108910892,0.768697094148726
40,stat,EN,LR,0.9166138613861384,0.8706708399990065,0.8669504950495049,0.0329442349346567,0.7933289230071671,-0.049663366336633485,,
45,stat,EN,LR,0.9284752475247524,0.8897361496158214,0.8789306930693069,0.016159968863438,0.8124648977445521,-0.04954455445544548,,
50,stat,EN,SVM_RBF,0.9305346534653464,0.8924976146182685,0.9166534653465346,0.0119752710595342,0.8713167391670472,-0.013881188118811782,0.867029702970297,0.7931365068951137
55,stat,EN,SVM_RBF,0.9543168316831684,0.9297829535640608,0.9266138613861388,0.0171689449106851,0.8864102045268408,-0.027702970297029617,,
60,stat,EN,SVM_RBF,0.9523564356435642,0.92613716551906,0.9206732673267324,0.0206562655326256,0.877405500528939,-0.03168316831683182,,
65,stat,LR,SVM_RBF,0.9364554455445544,0.901232013975062,0.8987920792079208,0.0422357437857088,0.8432728232350275,-0.037663366336633586,,
70,stat,EN,SVM_RBF,0.9503564356435644,0.92344979373602,0.9246138613861384,0.0203488447533466,0.8841163147850853,-0.025742574257425987,0.9067326732673268,0.8559811503445989
75,stat,EN,LR,0.9483762376237624,0.920140629284249,0.9186534653465346,0.0131150713890339,0.8748136571118114,-0.02972277227722786,,
80,stat,EN,SVM_RBF,0.9463960396039603,0.9171248100717396,0.9305742574257426,0.012431859170654,0.8931128536449503,-0.015821782178217725,,
90,fst_stat,EN,SVM_RBF,0.9602970297029704,0.9384493489952964,0.9265940594059404,0.0388915932293757,0.8861187488331789,-0.033702970297029955,,
100,fst_stat,EN,LR,0.9622970297029704,0.9417982665662488,0.9286336633663368,0.016887084130493,0.8905264817600382,-0.03366336633663358,,
