outer_fold,n_snps,panel,reductor,classifier,acc,f1,mcc,roc_auc
0,5,fst_stat,LR,SVM_RBF,0.594059405940594,0.5525528696178365,0.3526984292007628,0.668329929107137
0,10,stat,EN,SVM_RBF,0.693069306930693,0.6700728896419055,0.5166343264364638,0.8541444831476053
0,15,stat,EN,SVM_RBF,0.7623762376237624,0.713351211886272,0.6356607354082477,0.8963912547375973
0,20,stat,RF,RF,0.7821782178217822,0.7637265752081585,0.6630144628321418,0.9403210238402032
0,25,stat,EN,XGB,0.8514851485148515,0.8441860465116279,0.7683412511033333,0.960387963788945
0,30,stat,EN,XGB,0.8910891089108911,0.8859618706653972,0.8314613306642131,0.965655605586471
0,35,fst_stat,EN,SVM_RBF,0.8712871287128713,0.8665240473029541,0.8012688495697342,0.9665366334857861
0,40,fst_stat,EN,SVM_RBF,0.9108910891089109,0.9067173268752977,0.8638449054075519,0.9784084741042814
0,45,fst_stat,EN,SVM_RBF,0.9306930693069307,0.9301232347516495,0.8931373444872986,0.9815480910373863
0,50,stat,EN,LR,0.900990099009901,0.9014489999983899,0.8454030055249593,0.9788018185765731
0,55,fst_stat,EN,SVM_RBF,0.900990099009901,0.9003908285565398,0.8463917266052386,0.9879739367250518
0,60,fst_stat,EN,SVM_RBF,0.9108910891089109,0.9097978000435145,0.8627620170385611,0.9894933897833095
0,65,fst_stat,EN,SVM_Lin,0.9306930693069307,0.9309271683470867,0.8918929711137247,0.9916408842256299
0,70,fst_stat,EN,SVM_RBF,0.9207920792079208,0.9196977592496092,0.8776250347481429,0.9895916226536209
0,75,stat,EN,SVM_RBF,0.9207920792079208,0.9196977592496092,0.8776250347481429,0.987918241932515
0,80,fst_stat,EN,SVM_RBF,0.9306930693069307,0.9304424886933137,0.8943503996547647,0.9912010487612628
0,90,fst_stat,RF,SVM_RBF,0.9504950495049505,0.9502657578553343,0.9235759073678186,0.9904309974559752
0,100,fst_stat,EN,SVM_RBF,0.9207920792079208,0.9199775804138679,0.8794843175404083,0.9875873181069434
1,5,fst_stat,EN,RF,0.6039603960396039,0.5866573787365866,0.3793840021354667,0.8076152894005258
1,10,fst_stat,EN,LR,0.7425742574257426,0.7316953917613984,0.594667636158638,0.8834559916741004
1,15,stat,EN,RF,0.7623762376237624,0.7562971021823854,0.6330415154615646,0.9143465124676098
1,20,fst_stat,EN,LR,0.8118811881188119,0.811574444879944,0.7073990061981135,0.9463872133252152
1,25,stat,EN,SVM_RBF,0.8415841584158416,0.8376175460144478,0.7534283109897598,0.9454593404414992
1,30,stat,EN,SVM_RBF,0.8613861386138614,0.8592903895946674,0.7834293562139005,0.9704206372805837
1,35,stat,RF,LR,0.8514851485148515,0.850277070147333,0.7676399792390922,0.9494490699441637
1,40,fst_stat,RF,LR,0.7920792079207921,0.7856629308755092,0.6737043756365217,0.9355598270629493
1,45,fst_stat,RF,SVM_RBF,0.8712871287128713,0.8710091597395033,0.7988178651218326,0.9515134941874459
1,50,fst_stat,RF,SVM_RBF,0.8910891089108911,0.8910628463376842,0.8299895071065215,0.9470098858256751
1,55,FST,RF,LR,0.8910891089108911,0.8909732511712709,0.8304095490374522,0.9773455531484077
1,60,stat,RF,SVM_RBF,0.8811881188118812,0.8815223060767616,0.8148026706502578,0.9847602173984868
1,65,fst_stat,EN,SVM_RBF,0.900990099009901,0.9005780895729959,0.8468255511348498,0.9837820776045575
1,70,FST,EN,SVM_RBF,0.9405940594059405,0.9409367076539025,0.9077444579485741,0.9920793037206953
1,75,fst_stat,RF,SVM_RBF,0.9306930693069307,0.9309164285175551,0.8922915352698607,0.9914041813573481
1,80,FST,EN,SVM_RBF,0.9504950495049505,0.9505182876291071,0.9231122248231151,0.9945296385974353
1,90,fst_stat,LR,SVM_RBF,0.9108910891089109,0.9104624748189103,0.8631618261974093,0.9856306845267594
1,100,stat,RF,SVM_RBF,0.9306930693069307,0.9309905963887594,0.8925857529329918,0.9936936857208934
2,5,stat,LR,SVM_RBF,0.7128712871287128,0.658371892991455,0.5524051341009671,0.7916690856142239
2,10,fst_stat,RF,LR,0.7227722772277227,0.7334645291154501,0.5866674964947025,0.8944142960980606
2,15,stat,EN,XGB,0.801980198019802,0.797136691691147,0.6967960492155466,0.9293005347644062
2,20,fst_stat,EN,LR,0.8514851485148515,0.8484764755545322,0.7683412511033333,0.9493177977901439
2,25,fst_stat,EN,RF,0.8712871287128713,0.8656995764935971,0.800338417484505,0.9555301271068443
