n_snps,panel,reductor,classifier,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
5,stat,LR,LR,0.6746336633663367,0.024953983725925295,0.6314529613781913,0.4895098963850749,0.818624272792469
10,fst_stat,EN,SVM_Lin,0.7222178217821782,0.0265902771504428,0.7079082864905529,0.5674265926436579,0.8614542913461154
15,stat,EN,SVM_RBF,0.7837227722772278,0.020255557727717474,0.7674741719588658,0.6658253269090972,0.9101921190417682
20,stat,EN,LR,0.8353069306930694,0.013546001891277932,0.8298083055052341,0.747530691846096,0.9462838682774113
25,stat,EN,RF,0.8412475247524753,0.0227348465515123,0.8344507231375538,0.7565722377044721,0.9574173108245401
30,stat,EN,LR,0.861029702970297,0.025615038225920383,0.8594716098710451,0.7836597475122083,0.9597977114803081
35,stat,EN,LR,0.8609504950495049,0.04634651667473598,0.8598382561234581,0.7839018624427688,0.961282262425763
40,stat,EN,LR,0.8669504950495049,0.032944234934656765,0.8659431748499152,0.7933289230071671,0.9651678850124197
45,stat,EN,LR,0.8789306930693069,0.016159968863438075,0.879120205809128,0.8124648977445521,0.9722315399378507
50,stat,EN,SVM_RBF,0.9166534653465346,0.011975271059534266,0.9163376482147733,0.8713167391670472,0.9828058455317621
55,stat,EN,SVM_RBF,0.9266138613861387,0.017168944910685147,0.926415443885235,0.8864102045268408,0.9856473154124681
60,stat,EN,SVM_RBF,0.9206732673267325,0.0206562655326256,0.920303976759311,0.877405500528939,0.9874218252720537
65,stat,LR,SVM_RBF,0.8987920792079208,0.04223574378570889,0.8977706515967272,0.8432728232350275,0.9797684815565596
70,stat,EN,SVM_RBF,0.9246138613861385,0.02034884475334665,0.9239895794050739,0.8841163147850853,0.9898690907358109
75,stat,EN,LR,0.9186534653465346,0.013115071389033926,0.9177896505640046,0.8748136571118114,0.9901507207340454
80,stat,EN,SVM_RBF,0.9305742574257426,0.012431859170654064,0.9300824473344458,0.8931128536449503,0.9888681161819559
90,fst_stat,EN,SVM_RBF,0.9265940594059405,0.038891593229375715,0.9267802019026347,0.8861187488331789,0.9882352111377017
100,fst_stat,EN,LR,0.9286336633663368,0.016887084130493016,0.9287945575218248,0.8905264817600382,0.9918918927596682
