config,panel,reductor,classifier,mean_acc_over_N,top1_folds,top1_pct,tied_best_N,tied_best_pct
stat+EN+LR,stat,EN,LR,86.59,11,12.2,4,22.2
stat+EN+SVM_RBF,stat,EN,SVM_RBF,86.92,8,8.9,8,44.4
FST+EN+SVM_RBF,FST,EN,SVM_RBF,86.41,8,8.9,8,44.4
fst_stat+EN+RF,fst_stat,EN,RF,86.33,7,7.8,5,27.8
fst_stat+EN+XGB,fst_stat,EN,XGB,85.39,5,5.6,1,5.6
FST+EN+LR,FST,EN,LR,85.21,5,5.6,3,16.7
FST+RF+SVM_RBF,FST,RF,SVM_RBF,85.17,4,4.4,1,5.6
fst_stat+EN+LR,fst_stat,EN,LR,86.83,3,3.3,6,33.3
fst_stat+RF+SVM_RBF,fst_stat,RF,SVM_RBF,86.0,3,3.3,6,33.3
stat+RF+SVM_RBF,stat,RF,SVM_RBF,85.41,3,3.3,1,5.6
stat+RF+LR,stat,RF,LR,84.81,3,3.3,0,0.0
stat+LR+RF,stat,LR,RF,83.54,3,3.3,0,0.0
stat+EN+RF,stat,EN,RF,86.14,2,2.2,5,27.8
stat+EN+XGB,stat,EN,XGB,85.71,2,2.2,2,11.1
stat+EN+SVM_Lin,stat,EN,SVM_Lin,85.44,2,2.2,1,5.6
stat+RF+RF,stat,RF,RF,84.66,2,2.2,0,0.0
stat+EN+GBM,stat,EN,GBM,84.26,2,2.2,1,5.6
FST+EN+SVM_Lin,FST,EN,SVM_Lin,83.57,2,2.2,1,5.6
FST+RF+SVM_Lin,FST,RF,SVM_Lin,83.32,2,2.2,0,0.0
FST+RF+GBM,FST,RF,GBM,83.21,2,2.2,0,0.0
fst_stat+LR+XGB,fst_stat,LR,XGB,81.99,2,2.2,0,0.0
fst_stat+EN+SVM_RBF,fst_stat,EN,SVM_RBF,87.17,1,1.1,7,38.9
fst_stat+RF+XGB,fst_stat,RF,XGB,84.52,1,1.1,0,0.0
fst_stat+LR+SVM_RBF,fst_stat,LR,SVM_RBF,84.32,1,1.1,0,0.0
stat+LR+SVM_RBF,stat,LR,SVM_RBF,84.17,1,1.1,1,5.6
stat+RF+XGB,stat,RF,XGB,84.14,1,1.1,0,0.0
fst_stat+EN+GBM,fst_stat,EN,GBM,84.12,1,1.1,0,0.0
stat+RF+SVM_Lin,stat,RF,SVM_Lin,83.79,1,1.1,0,0.0
stat+RF+GBM,stat,RF,GBM,83.4,1,1.1,0,0.0
fst_stat+LR+RF,fst_stat,LR,RF,83.27,1,1.1,0,0.0
fst_stat+EN+SVM_Lin,fst_stat,EN,SVM_Lin,85.85,0,0.0,2,11.1
fst_stat+RF+RF,fst_stat,RF,RF,84.99,0,0.0,1,5.6
fst_stat+RF+LR,fst_stat,RF,LR,84.87,0,0.0,0,0.0
FST+EN+RF,FST,EN,RF,84.8,0,0.0,0,0.0
FST+RF+LR,FST,RF,LR,84.79,0,0.0,1,5.6
FST+EN+XGB,FST,EN,XGB,84.34,0,0.0,0,0.0
FST+RF+RF,FST,RF,RF,84.16,0,0.0,0,0.0
FST+RF+XGB,FST,RF,XGB,83.83,0,0.0,0,0.0
FST+EN+GBM,FST,EN,GBM,83.71,0,0.0,0,0.0
fst_stat+RF+SVM_Lin,fst_stat,RF,SVM_Lin,83.69,0,0.0,0,0.0
fst_stat+LR+LR,fst_stat,LR,LR,83.49,0,0.0,0,0.0
stat+LR+LR,stat,LR,LR,83.35,0,0.0,0,0.0
fst_stat+RF+GBM,fst_stat,RF,GBM,83.11,0,0.0,0,0.0
stat+LR+XGB,stat,LR,XGB,82.32,0,0.0,1,5.6
fst_stat+LR+SVM_Lin,fst_stat,LR,SVM_Lin,82.17,0,0.0,0,0.0
stat+LR+SVM_Lin,stat,LR,SVM_Lin,81.95,0,0.0,0,0.0
fst_stat+LR+GBM,fst_stat,LR,GBM,81.19,0,0.0,0,0.0
stat+LR+GBM,stat,LR,GBM,81.04,0,0.0,0,0.0
FST+LR+SVM_RBF,FST,LR,SVM_RBF,75.84,0,0.0,0,0.0
FST+LR+LR,FST,LR,LR,74.3,0,0.0,0,0.0
FST+LR+RF,FST,LR,RF,73.81,0,0.0,0,0.0
FST+LR+XGB,FST,LR,XGB,73.39,0,0.0,0,0.0
FST+LR+SVM_Lin,FST,LR,SVM_Lin,72.27,0,0.0,0,0.0
FST+LR+GBM,FST,LR,GBM,71.65,0,0.0,0,0.0
