n_snps,best_config,best_acc,n_tied_within_1se,tied_configs
5,FST+EN+SVM_Lin,69.44,1,FST+EN+SVM_Lin
10,fst_stat+EN+SVM_RBF,75.39,11,FST+EN+LR; FST+EN+SVM_RBF; fst_stat+EN+LR; fst_stat+EN+RF; fst_stat+EN+SVM_Lin; fst_stat+EN+SVM_RBF; stat+EN+LR; stat+EN+RF; stat+EN+SVM_RBF; stat+LR+SVM_RBF; stat+LR+XGB
15,fst_stat+EN+RF,79.37,6,fst_stat+EN+LR; fst_stat+EN+RF; fst_stat+EN+SVM_RBF; stat+EN+LR; stat+EN+RF; stat+EN+SVM_RBF
20,stat+EN+LR,83.53,2,fst_stat+EN+LR; stat+EN+LR
25,stat+EN+XGB,85.32,1,stat+EN+XGB
30,fst_stat+EN+RF,86.89,9,fst_stat+EN+LR; fst_stat+EN+RF; fst_stat+EN+SVM_RBF; stat+EN+GBM; stat+EN+LR; stat+EN+RF; stat+EN+SVM_Lin; stat+EN+SVM_RBF; stat+EN+XGB
35,fst_stat+EN+SVM_RBF,87.9,1,fst_stat+EN+SVM_RBF
40,fst_stat+EN+SVM_RBF,88.89,3,fst_stat+EN+RF; fst_stat+EN+SVM_RBF; stat+EN+SVM_RBF
45,fst_stat+EN+SVM_RBF,89.88,9,fst_stat+EN+LR; fst_stat+EN+SVM_Lin; fst_stat+EN+SVM_RBF; fst_stat+EN+XGB; fst_stat+RF+RF; fst_stat+RF+SVM_RBF; stat+EN+RF; stat+EN+SVM_RBF; stat+RF+SVM_RBF
50,stat+EN+SVM_RBF,91.67,1,stat+EN+SVM_RBF
55,stat+EN+SVM_RBF,92.66,1,stat+EN+SVM_RBF
60,stat+EN+SVM_RBF,92.07,9,FST+EN+LR; FST+EN+SVM_RBF; FST+RF+LR; FST+RF+SVM_RBF; fst_stat+EN+RF; fst_stat+EN+SVM_RBF; fst_stat+RF+SVM_RBF; stat+EN+RF; stat+EN+SVM_RBF
65,FST+EN+SVM_RBF,93.26,1,FST+EN+SVM_RBF
70,FST+EN+SVM_RBF,94.25,2,FST+EN+SVM_RBF; fst_stat+RF+SVM_RBF
75,FST+EN+SVM_RBF,94.25,3,FST+EN+SVM_RBF; fst_stat+EN+LR; fst_stat+RF+SVM_RBF
80,FST+EN+SVM_RBF,94.45,2,FST+EN+SVM_RBF; fst_stat+RF+SVM_RBF
90,FST+EN+SVM_RBF,95.84,3,FST+EN+LR; FST+EN+SVM_RBF; fst_stat+RF+SVM_RBF
100,FST+EN+SVM_RBF,96.83,1,FST+EN+SVM_RBF
