n_snps,fold,panel,reductor,classifier,config,acc
5,0,FST,EN,SVM_Lin,FST+EN+SVM_Lin,0.7029702970297029
5,1,stat,RF,SVM_RBF,stat+RF+SVM_RBF,0.693069306930693
5,2,stat,RF,XGB,stat+RF+XGB,0.7227722772277227
5,3,FST,EN,SVM_Lin,FST+EN+SVM_Lin,0.7128712871287128
5,4,stat,EN,SVM_Lin,stat+EN+SVM_Lin,0.73
10,0,FST,EN,LR,FST+EN+LR,0.801980198019802
10,1,stat,EN,LR,stat+EN+LR,0.7524752475247525
10,2,stat,LR,SVM_RBF,stat+LR+SVM_RBF,0.8217821782178217
10,3,fst_stat,RF,XGB,fst_stat+RF+XGB,0.8217821782178217
10,4,stat,EN,LR,stat+EN+LR,0.78
15,0,stat,EN,LR,stat+EN+LR,0.7821782178217822
15,1,stat,EN,LR,stat+EN+LR,0.7920792079207921
15,2,stat,LR,RF,stat+LR+RF,0.8316831683168316
15,3,FST,EN,LR,FST+EN+LR,0.8514851485148515
15,4,fst_stat,RF,RF,fst_stat+RF+RF,0.82
20,0,stat,EN,GBM,stat+EN+GBM,0.8613861386138614
20,1,stat,EN,LR,stat+EN+LR,0.8415841584158416
20,2,stat,EN,SVM_Lin,stat+EN+SVM_Lin,0.8613861386138614
20,3,stat,RF,GBM,stat+RF+GBM,0.8712871287128713
20,4,fst_stat,RF,XGB,fst_stat+RF+XGB,0.84
25,0,stat,EN,RF,stat+EN+RF,0.8613861386138614
25,1,stat,EN,GBM,stat+EN+GBM,0.8910891089108911
25,2,stat,LR,RF,stat+LR+RF,0.8712871287128713
25,3,stat,RF,RF,stat+RF+RF,0.9108910891089108
25,4,stat,EN,XGB,stat+EN+XGB,0.85
30,0,stat,EN,XGB,stat+EN+XGB,0.8910891089108911
30,1,stat,EN,LR,stat+EN+LR,0.8811881188118812
30,2,stat,LR,RF,stat+LR+RF,0.900990099009901
30,3,FST,RF,GBM,FST+RF+GBM,0.9306930693069309
30,4,stat,RF,LR,stat+RF+LR,0.88
35,0,stat,EN,RF,stat+EN+RF,0.8811881188118812
35,1,stat,EN,LR,stat+EN+LR,0.8811881188118812
35,2,stat,EN,SVM_Lin,stat+EN+SVM_Lin,0.900990099009901
35,3,stat,EN,LR,stat+EN+LR,0.9108910891089108
35,4,stat,RF,SVM_Lin,stat+RF+SVM_Lin,0.9
40,0,stat,EN,XGB,stat+EN+XGB,0.8910891089108911
40,1,stat,EN,SVM_Lin,stat+EN+SVM_Lin,0.900990099009901
40,2,stat,EN,LR,stat+EN+LR,0.9108910891089108
40,3,FST,RF,SVM_RBF,FST+RF+SVM_RBF,0.9504950495049505
40,4,stat,RF,LR,stat+RF+LR,0.91
45,0,stat,EN,XGB,stat+EN+XGB,0.9405940594059404
45,1,fst_stat,EN,RF,fst_stat+EN+RF,0.8910891089108911
45,2,stat,RF,XGB,stat+RF+XGB,0.900990099009901
45,3,FST,RF,GBM,FST+RF+GBM,0.9702970297029704
45,4,fst_stat,RF,SVM_RBF,fst_stat+RF+SVM_RBF,0.92
